City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-09-16 14:52:24,-54.8,-68.3,38.86,48,20,5.75
1,Butaritari,KI,2022-09-16 14:54:35,3.0707,172.7902,81.68,69,81,14.94
2,Saskylakh,RU,2022-09-16 14:54:35,71.9167,114.0833,29.8,87,100,14.9
3,Hithadhoo,MV,2022-09-16 14:54:36,-0.6,73.0833,82.08,66,0,5.61
4,New Norfolk,AU,2022-09-16 14:54:36,-42.7826,147.0587,49.71,89,100,3.0
5,Rikitea,PF,2022-09-16 14:53:13,-23.1203,-134.9692,71.38,76,8,7.65
6,Puerto Ayora,EC,2022-09-16 14:54:36,-0.7393,-90.3518,68.56,86,95,4.0
7,Mataura,NZ,2022-09-16 14:54:37,-46.1927,168.8643,32.58,98,4,2.57
8,Guerrero Negro,MX,2022-09-16 14:54:37,27.9769,-114.0611,69.87,75,0,17.47
9,Cururupu,BR,2022-09-16 14:54:37,-1.8283,-44.8683,87.03,56,75,8.77
10,Christchurch,NZ,2022-09-16 14:53:13,-43.5333,172.6333,45.95,78,27,6.91
11,Dikson,RU,2022-09-16 14:54:38,73.5069,80.5464,36.61,76,92,4.97
12,Burgeo,CA,2022-09-16 14:54:38,47.6167,-57.6152,59.61,77,60,22.64
13,Codrington,AU,2022-09-16 14:54:38,-38.2667,141.9667,49.8,83,100,16.51
14,Cape Town,ZA,2022-09-16 14:50:04,-33.9258,18.4232,69.12,63,20,8.01
15,Qaanaaq,GL,2022-09-16 14:54:38,77.484,-69.3632,33.28,89,100,5.12
16,Pemba,MZ,2022-09-16 14:54:39,-12.974,40.5178,79.5,65,20,14.0
17,Labuhan,ID,2022-09-16 14:54:39,-6.8844,112.2051,77.59,83,100,6.76
18,Warrington,GB,2022-09-16 14:54:39,53.3925,-2.5802,62.91,50,20,17.27
19,Albany,US,2022-09-16 14:52:31,42.6001,-73.9662,63.27,65,60,6.24
20,Port Alfred,ZA,2022-09-16 14:54:13,-33.5906,26.891,66.18,83,66,5.99
21,Platanos,GR,2022-09-16 14:54:40,37.6667,21.6167,88.57,54,2,7.45
22,Katsuura,JP,2022-09-16 14:54:40,35.1333,140.3,78.12,69,99,8.81
23,San Cristobal,VE,2022-09-16 14:53:10,7.7669,-72.225,75.38,51,79,7.07
24,Taltal,CL,2022-09-16 14:54:40,-25.4,-70.4833,60.46,67,40,4.07
25,Verkhnyaya Toyma,RU,2022-09-16 14:54:41,62.2349,44.9985,53.02,94,95,7.87
26,Punta Arenas,CL,2022-09-16 14:54:41,-53.15,-70.9167,41.11,56,40,17.27
27,Srbac,BA,2022-09-16 14:54:42,45.0978,17.525,64.53,90,100,6.91
28,Brits,ZA,2022-09-16 14:54:42,-25.6347,27.7802,87.53,15,14,8.28
29,Lebu,CL,2022-09-16 14:54:42,-37.6167,-73.65,44.35,92,100,16.4
30,Saldanha,ZA,2022-09-16 14:54:43,-33.0117,17.9442,66.25,85,45,12.08
31,Vardo,NO,2022-09-16 14:54:43,70.3705,31.1107,46.38,93,100,20.71
32,East London,ZA,2022-09-16 14:54:43,-33.0153,27.9116,68.94,73,0,14.97
33,Cherskiy,RU,2022-09-16 14:54:44,68.75,161.3,34.57,91,100,9.08
34,Bluff,NZ,2022-09-16 14:54:44,-46.6,168.3333,45.41,75,50,12.82
35,Ribeira Grande,PT,2022-09-16 14:54:44,38.5167,-28.7,77.4,78,20,13.8
36,Grindavik,IS,2022-09-16 14:54:44,63.8424,-22.4338,50.47,76,100,12.66
37,College,US,2022-09-16 14:50:58,64.8569,-147.8028,45.81,93,40,5.75
38,Upernavik,GL,2022-09-16 14:52:02,72.7868,-56.1549,39.02,93,100,6.82
39,Kahului,US,2022-09-16 14:54:45,20.8947,-156.47,76.84,87,20,3.0
40,Kapaa,US,2022-09-16 14:54:45,22.0752,-159.319,76.87,75,66,3.85
41,Bethel,US,2022-09-16 14:54:45,41.3712,-73.414,65.48,63,13,1.01
42,Ixtapa,MX,2022-09-16 14:54:46,20.7,-105.2,81.23,86,100,1.01
43,Aparecida Do Taboado,BR,2022-09-16 14:51:02,-20.0867,-51.0936,84.0,37,29,7.09
44,Saint George,US,2022-09-16 14:51:01,37.1041,-113.5841,72.95,61,75,6.91
45,Vytegra,RU,2022-09-16 14:54:46,61.0064,36.4481,53.98,93,100,10.22
46,Mandalgovi,MN,2022-09-16 14:54:46,45.7625,106.2708,37.49,78,20,21.41
47,Atuona,PF,2022-09-16 14:55:47,-9.8,-139.0333,76.3,69,25,19.33
48,Bredasdorp,ZA,2022-09-16 14:55:47,-34.5322,20.0403,64.09,63,66,20.51
49,Vaini,TO,2022-09-16 14:55:47,-21.2,-175.2,71.76,94,20,4.61
50,Yar-Sale,RU,2022-09-16 14:55:47,66.8333,70.8333,48.4,85,100,7.52
51,Arraial Do Cabo,BR,2022-09-16 14:55:48,-22.9661,-42.0278,64.36,88,100,6.91
52,Barrow,US,2022-09-16 14:55:48,71.2906,-156.7887,34.83,85,100,19.57
53,Khatanga,RU,2022-09-16 14:55:48,71.9667,102.5,27.77,90,100,12.59
54,Ponta Do Sol,PT,2022-09-16 14:55:49,32.6667,-17.1,83.71,72,10,5.68
55,Iwaki,JP,2022-09-16 14:55:49,37.05,140.8833,67.77,93,67,1.01
56,Port Elizabeth,ZA,2022-09-16 14:55:50,-33.918,25.5701,69.1,86,75,20.71
57,Pevek,RU,2022-09-16 14:55:50,69.7008,170.3133,34.54,78,100,5.88
