City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
398,Nago,JP,81.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
399,Fukue,JP,77.88,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
401,Hambantota,LK,81.57,overcast clouds,6.1241,81.1185,Bungalow 63
407,Nyaunglebin,MM,75.61,overcast clouds,17.95,96.7333,Thi ha
409,Mazamari,PE,75.78,few clouds,-11.3258,-74.5308,Hospedaje Ratto
411,Los Llanos De Aridane,ES,75.13,broken clouds,28.6585,-17.9182,Valle Aridane
417,Santo Domingo,DO,83.03,scattered clouds,18.5001,-69.9886,Cabañas City Heart
420,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
423,Daru,PG,79.97,broken clouds,-9.0763,143.2092,Daru Lodge
425,Manavgat,TR,84.09,clear sky,36.7867,31.4431,Lake & River Side Hotel & Spa
427,Faya,SA,75.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
436,Mogadishu,SO,79.52,scattered clouds,2.0371,45.3438,Hotel Juba
441,Seminole,US,77.09,scattered clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
442,Shimoda,JP,79.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
443,Bosconia,CO,76.78,overcast clouds,9.9689,-73.8836,Hotel Jorlin
446,Sorong,ID,80.74,moderate rain,-0.8833,131.25,Waigo Splash Hotel
447,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
450,Funtua,NG,82.71,overcast clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
451,Bereda,ES,80.42,overcast clouds,43.2686,-7.5406,Pazo de Verdes
452,Kolondieba,ML,81.01,overcast clouds,11.0882,-6.8926,Park
455,Dzaoudzi,YT,82.29,scattered clouds,-12.7887,45.2699,Le Rocher
459,Villa Del Rosario,CO,75.58,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
461,Guisijan,PH,79.84,moderate rain,11.0932,122.0461,Bagongbayan
464,Sandur,IN,77.72,overcast clouds,15.1,76.55,"WelcomHeritage Shivavilas Palace Hotel, Hampi"
466,Katsuura,JP,79.66,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
467,Punta Gorda,US,75.97,overcast clouds,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
476,Point Pedro,LK,81.37,overcast clouds,9.8167,80.2333,Gtr homes
477,Nikki,BJ,79.11,light rain,9.9401,3.2108,Monnon
483,Manavalakurichi,IN,80.11,overcast clouds,8.1333,77.3,Jebinrio home
484,Ladybrand,ZA,80.91,overcast clouds,-29.1945,27.4574,Accommodation @ Top House Bed and Breakfast
485,Santa Cruz,BO,84.25,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
488,Kamaishi,JP,75.15,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
490,Kieta,PG,79.56,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
493,Grand-Bourg,GP,84.15,overcast clouds,15.8835,-61.3148,Coco Beach Resort
503,Vieques,PR,77.02,heavy intensity rain,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
504,Progreso,MX,76.1,few clouds,21.2833,-89.6667,Playa Linda Hotel
506,Banswara,IN,82.72,clear sky,23.55,74.45,Hotel Relax Inn
509,Gaoual,GN,76.26,light rain,11.75,-13.2,Hotel koliba
510,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Pousada Camboinha
512,Nishihara,JP,81.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
524,Palaiokomi,GR,75.6,clear sky,40.8667,23.9,www.anastasia-villa.gr
525,The Valley,AI,83.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
526,Palestine,PS,77.94,clear sky,31.9216,35.2033,Grand Park Hotel
528,Constantine,DZ,83.61,scattered clouds,36.365,6.6147,Grand Hotel Cirta
532,Kokopo,PG,77.41,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
533,Ternate,ID,81.39,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
535,Kudahuvadhoo,MV,82.24,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
540,Pratapgarh,IN,78.01,clear sky,24.0333,74.7833,Ratna Hotel
545,Stephenville,US,75.81,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
548,Ishigaki,JP,78.93,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
549,Grand-Lahou,CI,81.72,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
550,Axim,GH,80.17,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
552,Salalah,OM,82.49,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
556,Tezu,IN,80.65,clear sky,27.9167,96.1667,Circuit House
558,Kencong,ID,76.66,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
559,Shingu,JP,80.04,overcast clouds,33.7333,135.9833,Shingu UI Hotel
561,Brokopondo,SR,82.08,overcast clouds,4.75,-55.1667,Matu Island
562,Nara,JP,83.91,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
566,Goksun,TR,84.43,clear sky,38.021,36.4973,Prof. Dr. Mehmet Saglam Ogretmenevi
570,Una,IN,79.18,clear sky,20.8167,71.0333,Hotel Harbhole
571,Fethiye,TR,84.07,clear sky,36.6217,29.1164,Club & Hotel Letoonia
573,Qiongshan,CN,82.38,clear sky,20.0058,110.3542,Sun City Restaurant
577,Barsi,IN,80.26,broken clouds,18.2333,75.7,B.K.T. COMMUNICATION AND FASHION
580,Buala,SB,78.35,light rain,-8.145,159.5921,Maringe Lagoon Lodge
583,Anito,PH,78.24,heavy intensity rain,12.4497,125.2886,El Felix Cottages
586,Naze,JP,79.72,heavy intensity rain,28.3667,129.4833,Shishime Hotel
590,Kinablangan,PH,79.54,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
594,Jardim,BR,77.45,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
596,Bouna,CI,78.37,overcast clouds,9.2667,-3.0,Hôtel lababa
598,Takoradi,GH,79.43,light rain,4.8845,-1.7554,Raybow International Hotel
599,Kyaikkami,MM,78.93,heavy intensity rain,16.08,97.5675,St. joseph catholic church
600,Catania,IT,82.47,few clouds,37.5021,15.0872,Hotel NH Catania Parco Degli Aragonesi
601,Pak Phanang,TH,82.42,light rain,8.3511,100.202,Green Park Inn Hotel
606,Tura,IN,76.8,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
611,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
615,Chishan,TW,82.9,scattered clouds,22.6392,120.3565,Li Xin Motel
617,Kaabong,UG,80.37,broken clouds,3.4836,34.1492,Madona Guest House Kaabong
618,Obuasi,GH,79.5,light rain,6.206,-1.6619,Mawuli Hotel
621,Hobara,JP,78.37,overcast clouds,37.8167,140.55,ロイヤルホテル ほていや
622,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Alize Plage
625,Kota Kinabalu,MY,82.38,few clouds,5.9749,116.0724,Gaya Centre Hotel
626,Piacabucu,BR,80.06,few clouds,-10.4056,-36.4344,Piaçabuçu News
631,Alekseyevka,RU,78.73,scattered clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
646,Dapaong,TG,80.33,overcast clouds,10.8639,0.205,Hotel Caroli
647,Alta Floresta,BR,82.22,smoke,-9.8756,-56.0861,Floresta Amazonica Hotel
648,Long Xuyen,VN,76.95,broken clouds,10.3833,105.4167,Nhà nghĩ Vy Linh
649,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
652,Aleksandrov Gay,RU,81.55,overcast clouds,50.147,48.5704,Gostinitsa
653,Novo Aripuana,BR,84.87,moderate rain,-5.1206,-60.3797,Hotel Ezequiel
656,Syracuse,IT,81.99,few clouds,37.0881,15.2792,Hotel Posta
658,Ugoofaaru,MV,82.2,overcast clouds,5.6667,73.0,Ungoofaaru Inn
660,Mangrol,IN,80.85,few clouds,21.1167,70.1167,Hotel The Royal Honours
663,Sampit,ID,76.57,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
665,Praia,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
669,Tripoli,LY,84.31,clear sky,32.8752,13.1875,Al Waddan Hotel
670,Marsa Matruh,EG,79.48,clear sky,31.3525,27.2453,Beau Site
671,Vila,PT,79.68,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
673,San Policarpo,PH,79.75,light rain,12.1791,125.5072,Agapita M. Nicart
674,Espinosa,BR,78.37,scattered clouds,-14.9261,-42.8192,Hotel Vilma
675,Beoumi,CI,82.49,overcast clouds,7.6736,-5.5764,Hôtel le Goly
676,Kirando,TZ,84.72,overcast clouds,-7.4167,30.6,"Lake Shore Lodge, Tanganyika"
681,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
682,Mulege,MX,82.96,clear sky,26.8833,-111.9833,Casa Granada
684,Puerto Armuelles,PA,75.18,overcast clouds,8.2833,-82.8667,Big Daddy's Beach Club & Hotel
687,Praia Da Vitoria,PT,80.85,few clouds,38.7333,-27.0667,Hotel Branco I
690,Road Town,VG,78.89,heavy intensity rain,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
692,Arroyo,ES,84.6,few clouds,41.6096,-4.7969,Hotel El Jardín de la Abadía
694,Zigong,CN,76.8,overcast clouds,29.3416,104.7769,Shangkeyou Express Hotel In Wuxing Street
701,Rio Branco,BR,84.81,overcast clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
703,Barra,BR,84.34,clear sky,-11.0894,-43.1417,Pousada Bahia
704,Iralaya,HN,80.67,overcast clouds,15.0,-83.2333,Iglesia morava renovada
718,Puerto Princesa,PH,79.48,overcast clouds,9.7392,118.7353,Deep Forest Garden Inn
719,Lambarene,GA,82.42,overcast clouds,-0.7001,10.2406,Le Refuge
