City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
79,Esperance,AU,-33.8667,121.9,53.96,88,30,8.16,scattered clouds
80,Sitka,US,57.0531,-135.33,55.29,88,100,0.0,light rain
81,Coahuayana,MX,18.7333,-103.6833,74.14,94,98,4.65,overcast clouds
82,Leningradskiy,RU,69.3833,178.4167,33.08,97,100,22.44,light snow
83,Jamestown,US,42.097,-79.2353,70.52,68,48,3.0,scattered clouds
84,Lai,TD,9.3952,16.2989,79.18,78,100,2.95,light rain
85,Taksimo,RU,56.3444,114.8794,30.83,66,23,2.77,few clouds
86,Nuzvid,IN,16.7833,80.85,81.45,80,100,6.58,overcast clouds
87,Narsaq,GL,60.9167,-46.05,57.42,62,94,6.64,overcast clouds
88,Bitung,ID,1.4451,125.1824,77.85,86,100,7.47,overcast clouds
89,Kodarma,IN,24.4667,85.6,78.71,87,100,3.78,overcast clouds
90,Norman Wells,CA,65.282,-126.8329,46.89,89,100,7.67,light rain
91,Asau,RO,46.4333,26.4,63.52,74,96,19.26,overcast clouds
92,Gimbi,ET,9.1667,35.8333,67.73,76,85,1.72,light rain
93,Lasa,IT,46.6166,10.7002,64.69,41,36,6.26,scattered clouds
94,Zapolyarnyy,RU,69.4154,30.8136,45.68,97,100,13.4,overcast clouds
95,Kodinsk,RU,58.6881,99.1844,46.04,93,100,2.82,overcast clouds
96,Puerto Madryn,AR,-42.7692,-65.0385,46.99,55,100,19.44,overcast clouds
97,San Cristobal,VE,7.7669,-72.225,76.03,65,83,4.0,broken clouds
98,Gawler,AU,-34.6,138.7333,53.51,88,55,0.22,broken clouds
99,Anadyr,RU,64.75,177.4833,35.01,93,100,16.44,overcast clouds
100,Butaritari,KI,3.0707,172.7902,81.66,77,8,13.94,light rain
101,Kedrovyy,RU,56.1667,91.8167,45.01,72,51,3.74,broken clouds
102,Frutal,BR,-20.0247,-48.9406,79.59,48,0,8.28,clear sky
103,Emporia,US,38.4039,-96.1817,72.37,86,0,16.35,clear sky
104,Lewisporte,CA,49.2499,-55.0482,49.71,84,93,11.07,overcast clouds
105,Tiksi,RU,71.6872,128.8694,33.03,72,94,3.04,overcast clouds
106,Solnechnyy,RU,50.7214,136.6319,51.58,99,100,4.45,overcast clouds
107,Jaque,PA,7.5175,-78.1703,75.96,94,100,6.91,moderate rain
108,Ilulissat,GL,69.2167,-51.1,42.82,93,100,5.75,light rain
109,Nikolskoye,RU,59.7035,30.7861,58.91,76,100,3.8,overcast clouds
110,Klaksvik,FO,62.2266,-6.589,52.72,68,97,6.71,overcast clouds
111,Beroroha,MG,-21.6667,45.1667,85.26,30,40,8.43,scattered clouds
112,Moura,PT,38.1401,-7.4486,87.42,33,64,1.88,broken clouds
113,Kahului,US,20.8947,-156.47,78.84,86,39,1.99,scattered clouds
114,Port Blair,IN,11.6667,92.75,81.18,81,100,16.8,overcast clouds
115,Niquero,CU,20.0431,-77.5828,81.07,78,1,6.31,clear sky
116,Visby,SE,57.6409,18.296,62.06,77,20,10.36,few clouds
117,Nakambala,ZM,-15.8324,27.7799,92.91,13,47,3.33,scattered clouds
118,Cabo San Lucas,MX,22.8909,-109.9124,83.52,70,89,3.56,overcast clouds
119,Simao,CN,22.7886,100.9748,70.5,80,100,2.62,overcast clouds
120,Jalu,LY,29.0331,21.5482,97.92,10,0,5.84,clear sky
121,Turukhansk,RU,65.8167,87.9833,48.29,77,100,10.13,overcast clouds
122,Atar,MR,20.5169,-13.0499,92.97,24,10,6.85,clear sky
123,Ligayan,PH,4.6533,119.4706,84.63,70,100,8.32,overcast clouds
124,Pevek,RU,69.7008,170.3133,32.59,93,100,20.24,overcast clouds
125,Ust-Omchug,RU,61.15,149.6333,37.85,59,100,5.41,overcast clouds
126,Vaini,TO,-21.2,-175.2,73.87,79,88,21.41,overcast clouds
127,Tilichiki,RU,60.4667,166.1,35.62,70,43,7.05,scattered clouds
128,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,82.81,70,100,0.96,overcast clouds
129,Cherskiy,RU,68.75,161.3,32.63,68,93,8.05,overcast clouds
130,Tuatapere,NZ,-46.1333,167.6833,47.8,83,100,5.55,overcast clouds
131,Richards Bay,ZA,-28.783,32.0377,75.74,68,84,8.43,broken clouds
